XZQDM,CSMC,BZ,DKXH,TZLXDM,two,DLMC,EJ,XZQMC_12,XZQMC,XZQM,Shape_Area
320400,常州市,宝林寺北,001,I,1,农用地,耕地,武进区,湖塘镇,张家坝村,0.00040000000
320400,常州市,宝林寺北,001,I,1,农用地,耕地,武进区,湖塘镇,张家坝村,0.22670000000
320400,常州市,常州夏岩三勤生态旅游发展有限公司,002,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.22280000000
320400,常州市,常州夏岩三勤生态旅游发展有限公司,002,I,1,农用地,,武进区,湖塘镇,三勤村,0.00190000000
320400,常州市,常州夏岩三勤生态旅游发展有限公司,002,I,1,农用地,,武进区,湖塘镇,三勤村,0.02680000000
320400,常州市,常州夏岩三勤生态旅游发展有限公司,002,I,1,农用地,,武进区,湖塘镇,三勤村,0.00990000000
320400,常州市,常州夏岩三勤生态旅游发展有限公司,002,I,1,农用地,,武进区,湖塘镇,三勤村,0.02630000000
320400,常州市,常州夏岩三勤生态旅游发展有限公司,002,I,1,农用地,,武进区,湖塘镇,三勤村,0.02170000000
320400,常州市,常州夏岩三勤生态旅游发展有限公司,002,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.01550000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.36520000000
320400,常州市,城南小学,003,I,1,农用地,,武进区,湖塘镇,三勤村,0.04580000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.06480000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.02310000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.65190000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.04000000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.09760000000
320400,常州市,城南小学,003,I,1,农用地,,武进区,湖塘镇,三勤村,0.00070000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.03250000000
320400,常州市,城南小学,003,I,1,农用地,,武进区,湖塘镇,三勤村,0.03400000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.13710000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.26830000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.75980000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.03920000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.04190000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.00400000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.05370000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.25240000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.03630000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.05620000000
320400,常州市,城南小学,003,I,1,农用地,,武进区,湖塘镇,三勤村,0.16990000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.05410000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.08380000000
320400,常州市,城南小学,003,I,1,农用地,耕地,武进区,湖塘镇,三勤村,0.00030000000
320400,常州市,城南小学,003,I,1,未利用地,,武进区,湖塘镇,三勤村,0.44730000000
320400,常州市,东升菜场,004,I,1,农用地,,武进区,湖塘镇,东升村,0.05740000000
320400,常州市,东升菜场,004,I,1,农用地,耕地,武进区,湖塘镇,东升村,0.10190000000
320400,常州市,东升菜场,004,I,1,农用地,耕地,武进区,湖塘镇,东升村,0.02900000000
320400,常州市,高新区海湖路,005,I,1,农用地,,武进区,湖塘镇,南周村,1.50520000000
320400,常州市,高新区南河花园安置房,006,I,1,建设用地,,武进区,湖塘镇,纪墅村,0.40830000000
320400,常州市,高新区南河花园安置房,006,I,1,建设用地,,武进区,湖塘镇,纪墅村,0.01760000000
320400,常州市,高新区南河花园安置房,006,I,1,建设用地,,武进区,湖塘镇,纪墅村,0.05060000000
320400,常州市,沟南拆迁安置2-2,007,I,1,农用地,耕地,武进区,湖塘镇,东新村,0.10410000000
320400,常州市,沟南拆迁安置2-2,007,I,1,农用地,,武进区,湖塘镇,东新村,0.03980000000
320400,常州市,沟南拆迁安置2-2,007,I,1,农用地,耕地,武进区,湖塘镇,东新村,0.00860000000
320400,常州市,沟南拆迁安置2-2,007,I,1,农用地,耕地,武进区,湖塘镇,东新村,0.65470000000
320400,常州市,沟南拆迁安置2-2,007,I,1,农用地,,武进区,湖塘镇,东新村,0.13400000000
320400,常州市,沟南拆迁安置2-2,007,I,1,农用地,,武进区,湖塘镇,东新村,0.07350000000
320400,常州市,沟南拆迁安置4,008,I,1,农用地,,武进区,湖塘镇,东新村,0.13450000000
320400,常州市,沟南拆迁安置4,008,I,1,农用地,耕地,武进区,湖塘镇,东新村,0.00100000000
320400,常州市,沟南拆迁安置4,008,I,1,农用地,,武进区,湖塘镇,东新村,0.00240000000
320400,常州市,沟南拆迁安置4,008,I,1,农用地,,武进区,湖塘镇,东新村,0.00480000000
320400,常州市,沟南拆迁安置4,008,I,1,农用地,耕地,武进区,湖塘镇,东新村,0.24870000000
320400,常州市,沟南拆迁安置4,008,I,1,未利用地,,武进区,湖塘镇,东新村,0.16860000000
320400,常州市,沟南拆迁安置4,008,I,1,农用地,,武进区,湖塘镇,东新村,0.60040000000
320400,常州市,沟南拆迁安置4,008,I,1,农用地,耕地,武进区,湖塘镇,东新村,0.40700000000
320400,常州市,南田文化城菱港路范围,009,I,1,农用地,耕地,武进区,湖塘镇,龙潭庵村,0.00220000000
320400,常州市,南田文化城菱港路范围,009,I,1,农用地,耕地,武进区,湖塘镇,龙潭庵村,0.01740000000
320400,常州市,南田文化城菱港路范围,009,I,1,农用地,耕地,武进区,湖塘镇,龙潭庵村,0.03590000000
320400,常州市,南田文化城菱港路范围,009,I,1,农用地,耕地,武进区,湖塘镇,龙潭庵村,0.35510000000
320400,常州市,南田文化城菱港路范围,009,I,1,农用地,耕地,武进区,湖塘镇,龙潭庵村,0.01840000000
320400,常州市,南田文化城菱港路范围,009,I,1,农用地,耕地,武进区,湖塘镇,龙潭庵村,0.04900000000
320400,常州市,南田文化城菱港路范围,009,I,1,农用地,耕地,武进区,湖塘镇,龙潭庵村,0.12540000000
